locality,Latitude,Longitude
abrolhos,-17.96277778,-38.6625
arraial,-22.980484,-41.984482
belize,16.836111,-88.267778
bocas,9.365996,-82.222838
ceara,-3.5683,-38.408383
costa_dos_corais,-8.725206,-35.088717
curacao,12.11,-68.95
florida_keys,24.953056,-80.458333
guarapari,-20.699631,-40.407589
ilha_gde,-23.168,-44.15003333
ilhabela,-23.830333,-45.393889
l_santos,-24.316838,-46.176212
manuel_luis,-0.869867,-44.264283
mexico_car,20.64031667,-84.3079
rg_norte,-5.980833,-35.109492
rio_de_janeiro,-23.027971,-48.195288
salvador_bts,-12.83345,-38.5253
santa_catarina,-27.290608,-48.363806
stpauls_rocks,0.918769,-29.343028
trindade,-20.492039,-29.329574
